Giocatrici
Giocatrice	        Ruolo	        Maglia	      Punti	Squadra di provenienza
Anna Danesi 	    	Centrale 	  11 	        43 	    Pro Victoria
Carlotta Cambi 	    	Palleggiatrice 	  3 	        0 	    Pinerolo
Alessia Orro 	    	Palleggiatrice 	  8 	        13 	    Pro Victoria
Caterina Bosetti 	Schiacciatrice 	  9 	        33 	    VakıfBank
Gaia Giovannini 	Schiacciatrice 	  27 	        27 	    Megavolley
Myriam Sylla 	    	Schiacciatrice 	  17 	        60 	    Pro Victoria
Marina Lubian 	    	Centrale 	  1 	        1 	    Imoco
Sarah Fahr 	        Centrale 	  19 	        36 	    Imoco
Paola Ogechi Egonu 	Opposto 	  18 	        110 	    Pro Victoria
Ekaterina Antropova 	Opposto 	  24 	        54 	    Savino Del Bene
Monica De Gennaro 	Libero 	          10 	        0 	    Imoboco
Ilaria Spirito 	    	Libero 	          5 	        0 	    Chieri' 76
Totale Punti 		377

